dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by
ml100k,als,quota_mmr,200,100,10,6.28125,4.637264099999811,0.08984375,0.3537260000011883,0.0171875,0.2602568000002065,0.0080128205128205,0.3068061999983911,0.2890625,0.5805044999997335,6.37109375,0.0015713141025641,0.0492276031827338,0.9494838558958694,0.1,0.2565,0.4833209785025945,0.7319644180874721,0.525,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.134980130155206,,
ml100k,als,quota_mmr,200,200,10,5.671875,4.634742299998834,0.0859375,0.3511108000002423,0.0183823529411764,0.2193773999988479,0.0107758620689655,0.304291500000545,0.609375,0.6175871999985247,5.7578125,0.0031926660750507,0.0470996768572103,0.9387455491481111,0.095,0.2619999999999999,0.507783543365456,0.7108080059303188,0.66,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.1183265571702111,,
ml100k,als,quota_mmr,200,400,10,5.421875,4.602785700000823,0.08984375,0.3526400999999168,0.0164473684210526,0.2450575999991997,0.0148809523809523,0.3015355999996245,1.53125,1.5323774999997113,5.51171875,0.00781289160401,0.0368559605955887,0.9266390655176228,0.075,0.259,0.5166790214974055,0.7017694588584137,0.84,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.105273949054246,,
ml100k,als,quota_mmr,200,800,10,5.40625,4.652428199999122,0.08984375,0.3534030999999231,0.0364583333333333,0.1154479000015271,0.0208333333333333,0.3144535999999789,3.796875,3.79446199999984,5.49609375,0.0192708333333333,0.0294885438109992,0.9134285572302668,0.055,0.254,0.5292809488510007,0.6888636026686434,0.93,0,0.3,1.0,0,ok,,,1349,943,0.0773079623019132,True,0.7,0.0942007422247066,,
ml100k,popularity,none,200,50,10,0.0001585489599188,0.3043278999994072,0.0,0.0,0.011574074074074,0.3172297000000981,0.0071022727272727,0.310784600000261,0.0,0.0,0.0001585489599188,9.3381734006734e-05,0.0425863760254837,1.0,0.1,1.1846666666666668,0.0496664195700518,0.9822001482579688,0.19,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,100,10,0.0001578282828282,0.3115072999989934,0.0,0.0,0.011574074074074,0.3211803000012878,0.0080128205128205,0.3082039000000804,0.0,0.0,0.0001578282828282,9.793447293447292e-05,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.305,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,200,10,0.000156328164082,0.3086770999998407,0.0,0.0,0.011574074074074,0.3166485000001557,0.0104166666666666,0.3147007999996276,0.0,0.0,0.000156328164082,0.0001099537037037,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.45,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,400,10,0.0001615822130299,0.2992076999998971,0.0,0.0,0.011574074074074,0.3186652999993384,0.0142045454545454,0.3135297000007995,0.0,0.0,0.0001615822130299,0.000128893097643,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.665,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,,
ml100k,popularity,none,200,800,10,0.0001595201633486,0.3057833999991999,0.0,0.0,0.0111607142857142,0.329628400000729,0.0183823529411764,0.3218175999991217,0.0,0.0,0.0001595201633486,0.0001477153361344,0.0425863760254837,1.0,0.1,1.1855000000000002,0.0496664195700518,0.9822001482579688,0.835,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,,800.0,user history in a small catalogue
ml100k,popularity,quota_mmr,200,50,10,0.0001619170984455,0.3031917999996949,0.0859375,0.3526347999995778,0.0120192307692307,0.3039266999985557,0.0069444444444444,0.3188744999988557,0.109375,0.3223780999996961,0.0860994170984456,0.0006416933760683,0.0312895624673529,0.908697254610552,0.065,0.2581666666666666,0.0607857672349888,0.98358561897702,0.19,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,0.7,0.3541891480930775,,
