dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,popularity,balanced_quota,100,100,10,0.0001685544768069,0.2975569000009272,0.08984375,0.3625987999985227,0.0065104166666666,0.3096875999981421,0.0042808219178082,0.3919796999980462,0.1145833333333333,0.3458524999987276,0.0900123044768069,0.001253745719178,0.0539779465794145,0.9071402624906746,0.11,0.1999999999999999,0.0378057820607857,0.9859154929577464,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3653553200451085,
ml100k,popularity,qubo_feasible,100,100,10,0.0001657824933687,0.31971970000086,0.09375,0.3759624999984226,0.00625,0.3130007999970985,0.0052966101694915,0.3168067000005976,32.453125,32.830445199997484,0.0939157824933687,0.3246467161016949,0.0324899644782239,0.8111539982285434,0.05,0.1999999999999999,0.089696071163825,0.9665218680504076,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2955611794633581,
ml100k,popularity,qubo_tabu,100,100,10,0.0002292736610418,0.2983580000000074,0.125,0.3758808999991743,0.0066489361702127,0.3121903999999631,0.0050403225806451,0.3153876999967906,24.3125,24.36568370000168,0.1252292736610418,0.2432418925875085,0.0534826362927298,0.8544564068083521,0.09,0.1999999999999999,0.0593031875463306,0.9786256486286138,0.33,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3077127105421948,True
ml100k,itemknn,none,100,100,10,0.1953125,0.3879671999966376,0.0,0.0,0.0130208333333333,0.3137824000004912,0.0043402777777777,0.3036066999993636,0.0,0.0,0.1953125,0.0001736111111111,0.0314308364396487,1.0,0.08,1.138,0.0845070422535211,0.9610096367679762,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,itemknn,greedy_topk,100,100,10,0.203125,0.3948961999994935,0.08984375,0.3681823000006261,0.0135869565217391,0.3099815000023227,0.0052966101694915,0.3025462000005063,0.0234375,0.3655446999982814,0.29296875,0.0004232106669123,0.0314308364396487,1.0,0.08,1.138,0.0845070422535211,0.9610096367679762,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4551513632192579,
ml100k,itemknn,mmr,100,100,10,0.2109375,0.4180062000014004,0.09765625,0.3815467999993416,0.0148809523809523,0.3213112999983423,0.0048076923076923,0.3071410999982618,0.2421875,0.5068358999997145,0.30859375,0.0026187614468864,0.043939418454119,0.9963287520128452,0.12,1.066,0.0971089696071163,0.9532305411415865,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.4387874581845919,
ml100k,itemknn,quota_mmr,100,100,10,0.2109375,0.4301231999997981,0.1015625,0.4072197999994387,0.0148809523809523,0.311597800002346,0.0042808219178082,0.3140375000002677,0.1197916666666666,0.357434599998669,0.3125,0.0013895344096542,0.0343465771498156,0.9200041908350084,0.09,0.249,0.0911786508524833,0.9594292068198664,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3939280197144214,
ml100k,itemknn,balanced_quota,100,100,10,0.203125,0.3970521000010194,0.09375,0.3843163999990793,0.0148809523809523,0.3033289999984845,0.0049603174603174,0.3125903000000107,0.1354166666666666,0.4132385999982944,0.296875,0.0015525793650793,0.0315755805800977,0.913132958077176,0.08,0.1999999999999999,0.0919199406968124,0.958893995552261,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3905376220076736,
ml100k,itemknn,qubo_feasible,100,100,10,0.1953125,0.4025301000001491,0.109375,0.3184346000016376,0.0148809523809523,0.31546580000213,0.0052083333333333,0.3545168999989982,32.21875,32.44825249999849,0.3046875,0.3223883928571428,0.0611142354124966,0.7803845483509704,0.13,0.1999999999999999,0.1460340993328391,0.930936990363232,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3009158858702569,
ml100k,itemknn,qubo_tabu,100,100,10,0.203125,0.406707500002085,0.09765625,0.3982034000000567,0.0148809523809523,0.305720400003338,0.0045289855072463,0.3089053999974567,24.4375,24.82850289999988,0.30078125,0.244569099378882,0.0660677453505191,0.8139382033243444,0.14,0.1999999999999999,0.128984432913269,0.9396679021497404,0.46,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.3067527112060279,True
ml100k,als,none,100,100,10,3.671875,3.66033470000184,0.0,0.0,0.0071022727272727,0.3183695999978226,0.0048076923076923,0.3060863999999128,0.0,0.0,3.671875,0.0001190996503496,0.0638315481905817,1.0,0.13,0.8470000000000002,0.3224610822831727,0.8064581171237954,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,,
ml100k,als,greedy_topk,100,100,10,3.828125,3.8959735999997065,0.08984375,0.360490099999879,0.0072674418604651,0.3002936000011686,0.0042229729729729,0.3127031000003626,0.0183823529411764,0.3174350000008417,3.91796875,0.0002987276777461,0.0638315481905817,1.0,0.13,0.8470000000000002,0.3224610822831727,0.8064581171237954,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.2270115722909262,
ml100k,als,mmr,100,100,10,3.5,3.518198000001576,0.08984375,0.360675000003539,0.0072674418604651,0.3092816999997012,0.0046641791044776,0.3058591000008164,0.1875,0.3806418000021949,3.58984375,0.0019943162096494,0.0642890252660755,0.9940316074115588,0.13,0.7920000000000001,0.3595255744996293,0.7704818383988139,0.56,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,10.8,0.1831136197529837,
