user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,n_candidates,intra_list_similarity
708,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4590968932041709
717,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.4168841230686564
722,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4547421235165571
739,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4627999877923043
745,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4368547485825834
757,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4400381433579726
759,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.5438269742339117
771,0.0,1.0,0.0,1.1,ml100k,popularity,greedy_topk,0,100,0.4385800186861142
780,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4997447550822193
785,0.0,1.0,0.0,0.7,ml100k,popularity,greedy_topk,0,100,0.3409830755899676
794,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4686152284700159
806,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4278453872956191
817,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.4720533477341276
832,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.467931400095214
856,0.0,1.0,0.0,0.9,ml100k,popularity,greedy_topk,0,100,0.4202830815900223
860,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4761640309039405
869,0.0,1.0,0.0,0.7,ml100k,popularity,greedy_topk,0,100,0.3538564647778144
881,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4374548183792778
894,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4750982715216493
913,0.0,1.0,0.0,1.5,ml100k,popularity,greedy_topk,0,100,0.432554881138053
934,0.0,1.0,0.0,1.3,ml100k,popularity,greedy_topk,0,100,0.4625094294990642
2,0.0,0.9993252971938432,0.0,1.3,ml100k,popularity,mmr,0,100,0.5337506556818484
4,0.0,0.9812305315461008,0.0,0.7,ml100k,popularity,mmr,0,100,0.3473531947378577
7,0.0,0.9997359148237676,0.0,1.3,ml100k,popularity,mmr,0,100,0.4965713786583068
14,0.0,1.0,0.0,1.3,ml100k,popularity,mmr,0,100,0.4827714806992631
19,0.0,1.0,0.0,1.3,ml100k,popularity,mmr,0,100,0.5025495877749062
25,0.0,0.9935578018455284,0.0,1.1,ml100k,popularity,mmr,0,100,0.3747876733446925
29,0.0,0.9921948194282654,0.0,1.1,ml100k,popularity,mmr,0,100,0.3958980135693183
34,0.0,0.9871817289163788,0.0,0.6,ml100k,popularity,mmr,0,100,0.2711033988767071
45,0.0,0.9988217537651752,0.0,0.9,ml100k,popularity,mmr,0,100,0.4157529245857343
