stage,label,wall_seconds,cpu_seconds,cpu_user_seconds,cpu_system_seconds,cpu_utilisation,peak_rss_bytes,repeats,cpu_seconds_each,meta.catalogue,meta.repeat,meta.meter,dataset,family,reranker,repeat
train,als,3.431006699996942,3.4375,3.4375,0.0,1.0018925349236607,322273280,1,3.4375,ml100k,0,,ml100k,als,mmr,0
rerank_setup,als,0.3669133999974292,0.359375,0.296875,0.0625,0.9794545524979952,322273280,4,0.08984375,ml100k,0,,ml100k,als,mmr,0
retrieve_score,als,0.3046251000014308,0.3125,0.28125,0.03125,1.025851119945573,322273280,45,0.0069444444444444,ml100k,0,,ml100k,als,mmr,0
retrieve_select,als,0.310866799998621,0.3125,0.265625,0.046875,1.0052536970862962,322273280,72,0.0043402777777777,ml100k,0,,ml100k,als,mmr,0
rerank,als,0.3646872999997868,0.359375,0.359375,0.0,0.9854332739314204,322273280,2,0.1796875,ml100k,0,,ml100k,als,mmr,0
train,als,3.40526029999819,3.40625,3.40625,0.0,1.0002906385752095,322273280,1,3.40625,ml100k,0,,ml100k,als,quota_mmr,0
rerank_setup,als,0.3587196999978914,0.359375,0.265625,0.09375,1.0018267745041949,322273280,4,0.08984375,ml100k,0,,ml100k,als,quota_mmr,0
retrieve_score,als,0.3131180999989738,0.3125,0.265625,0.046875,0.998025984448118,322273280,46,0.0067934782608695,ml100k,0,,ml100k,als,quota_mmr,0
retrieve_select,als,0.3078084999979182,0.3125,0.25,0.0625,1.0152416193903464,322273280,72,0.0043402777777777,ml100k,0,,ml100k,als,quota_mmr,0
rerank,als,0.4203811000006681,0.40625,0.40625,0.0,0.9663850253956574,322273280,3,0.1354166666666666,ml100k,0,,ml100k,als,quota_mmr,0
train,als,3.4356918999983463,3.421875,3.421875,0.0,0.9959784228619706,322273280,1,3.421875,ml100k,0,,ml100k,als,balanced_quota,0
rerank_setup,als,0.3688456999989284,0.375,0.265625,0.109375,1.01668529686286,322273280,4,0.09375,ml100k,0,,ml100k,als,balanced_quota,0
retrieve_score,als,0.3096484000016062,0.3125,0.296875,0.015625,1.0092091546359645,322273280,45,0.0069444444444444,ml100k,0,,ml100k,als,balanced_quota,0
retrieve_select,als,0.3075935000015306,0.3125,0.234375,0.078125,1.015951247339248,322273280,73,0.0042808219178082,ml100k,0,,ml100k,als,balanced_quota,0
rerank,als,0.4151270000002114,0.40625,0.390625,0.015625,0.9786161825171408,322273280,4,0.1015625,ml100k,0,,ml100k,als,balanced_quota,0
train,als,3.3950170000025537,3.390625,3.390625,0.0,0.9987063393194936,322273280,1,3.390625,ml100k,0,,ml100k,als,qubo_feasible,0
rerank_setup,als,0.362989799999923,0.375,0.28125,0.09375,1.033086880127429,322273280,4,0.09375,ml100k,0,,ml100k,als,qubo_feasible,0
retrieve_score,als,0.3168714999992517,0.3125,0.296875,0.015625,0.986204186873032,322273280,47,0.0066489361702127,ml100k,0,,ml100k,als,qubo_feasible,0
retrieve_select,als,0.3105074000013701,0.3125,0.21875,0.09375,1.006417238360893,322273280,74,0.0042229729729729,ml100k,0,,ml100k,als,qubo_feasible,0
rerank,als,30.26280129999941,30.265625,30.21875,0.046875,1.0000933059690211,322273280,1,30.265625,ml100k,0,,ml100k,als,qubo_feasible,0
train,als,3.676876199999242,3.671875,3.671875,0.0,0.9986398236635644,322273280,1,3.671875,ml100k,0,,ml100k,als,qubo_tabu,0
rerank_setup,als,0.3965979000022344,0.390625,0.296875,0.09375,0.9849396580208802,322273280,4,0.09765625,ml100k,0,,ml100k,als,qubo_tabu,0
