dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.time_bounded_reranker
ml100k,als,qubo_feasible,100,100,10,5.703125,4.796325400006026,0.09375,0.3642652999988058,0.0094696969696969,0.2193213999998988,0.0042808219178082,0.3096136000021943,38.203125,38.68588760000421,5.796875,0.382168755188875,0.0522519153779495,0.8947977415909303,0.09,0.1999999999999999,0.3639733135656041,0.7618532246108228,0.56,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.1012334407095813,
ml100k,als,qubo_tabu,100,100,10,7.109375,5.896885900001507,0.1041666666666666,0.3206687999991118,0.0208333333333333,0.1157707999955164,0.0051229508196721,0.312432999999146,24.796875,24.8910726000031,7.213541666666667,0.24822831284153,0.0727416121767257,0.9180491664698716,0.12,0.1999999999999999,0.3602668643439585,0.7665411415863602,0.56,1,0.3,1.0,1,ok,,,1349,943,0.0773079623019132,True,5.6,0.1015991700714059,True
ml100k,popularity,none,100,100,10,0.0001663118680149,0.2971297999974922,0.0,0.0,0.005787037037037,0.3154651000004378,0.0041666666666666,0.3129919999992125,0.0,0.0,0.0001663118680149,9.953703703703704e-05,0.0382669443645209,1.0,0.08,1.204,0.0474425500370644,0.9811919940696812,0.44,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,,
ml100k,popularity,greedy_topk,100,100,10,0.0001543209876543,0.3122185999964131,0.0859375,0.3582058999963919,0.0060096153846153,0.3022770999959903,0.0041118421052631,0.3110329999981331,0.0148809523809523,0.3211834999965504,0.0860918209876543,0.0002500240987083,0.0382669443645209,1.0,0.08,1.204,0.0474425500370644,0.9811919940696812,0.44,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.4444646437713618,
ml100k,popularity,mmr,100,100,10,0.0001587906504065,0.3102550000039628,0.09375,0.3802722000036738,0.0058962264150943,0.3077323000034084,0.0044014084507042,0.3125553999998374,0.1875,0.3811656999969273,0.0939087906504065,0.0019779763486579,0.0478714269602454,0.9833584685689768,0.11,0.961,0.0541141586360266,0.9808984432913268,0.44,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.4049562301218881,
ml100k,popularity,quota_mmr,100,100,10,0.0001593574706782,0.312368900005822,0.08984375,0.3602717999965534,0.0054824561403508,0.3310078000067733,0.0045955882352941,0.3087266000002273,0.1354166666666666,0.4187311999994563,0.0900031074706782,0.0014549471104231,0.0553441848483286,0.900303343848761,0.12,0.256,0.0585618977020014,0.9811074870274276,0.44,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.3440776818983894,
ml100k,popularity,qubo_feasible,100,100,10,0.0001742889012827,0.2989794000022812,0.1015625,0.430060600003344,0.0071022727272727,0.3093100000041886,0.0049603174603174,0.3107372999947984,38.734375,38.83262090000062,0.1017367889012827,0.3874643759018759,0.0280644216387043,0.813540621567663,0.07,0.1999999999999999,0.1052631578947368,0.9614262416604892,0.44,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.286431853905304,
ml100k,popularity,qubo_tabu,100,100,10,0.000215814917127,0.297622300000512,0.1041666666666666,0.3220835999964038,0.0071022727272727,0.3039609000043128,0.0055803571428571,0.3134739000015543,24.859375,24.97553580000385,0.1043824815837937,0.2487205762987013,0.0356661170887193,0.852599714404809,0.07,0.1999999999999999,0.0770941438102298,0.9754736842105264,0.44,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.2971944820065385,True
ml100k,itemknn,none,100,100,10,0.1953125,0.3924822000044514,0.0,0.0,0.0142045454545454,0.3207293999948888,0.0042229729729729,0.3040945999964606,0.0,0.0,0.1953125,0.0001842751842751,0.0623552320748689,1.0,0.14,1.105,0.0926612305411415,0.9553313565604152,0.49,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,,
ml100k,itemknn,greedy_topk,100,100,10,0.1953125,0.3944676000028266,0.08984375,0.367567199995392,0.0148809523809523,0.2990573000060976,0.0040064102564102,0.3112565999981598,0.01640625,0.328559600005974,0.28515625,0.0003529361263736,0.0623552320748689,1.0,0.14,1.105,0.0926612305411415,0.9553313565604152,0.49,2,0.3,1.0,2,ok,,,1349,943,0.0773079623019132,True,5.6,0.4477687486614315,
