dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction
ml100k,popularity,quota_mmr,200,50,10,0.0001636982713462,0.3010712000032072,0.08984375,0.3594685999996727,0.011574074074074,0.3165466999998898,0.0074404761904761,0.3087321999992127,0.109375,0.3274953000000096,0.0900074482713462,0.0006419477513227,0.0298442383357634,0.9152713063889508,0.06,0.2379999999999999,0.0533728687916975,0.984759080800593,0.19,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,2.3,0.3633413730385945,,,
ml100k,popularity,quota_mmr,200,100,10,0.0001633559853633,0.3047577000033925,0.08984375,0.3662025999947218,0.011574074074074,0.314235899997584,0.0082236842105263,0.308561899997585,0.2265625,0.454555899996194,0.0900071059853633,0.001231801291423,0.0298442383357634,0.9142885547768888,0.06,0.24,0.0541141586360266,0.9846730911786508,0.305,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,2.3,0.3612287755702256,,,
ml100k,popularity,quota_mmr,200,200,10,0.0001722712238147,0.3019685999970534,0.08984375,0.364687999994203,0.011574074074074,0.3095825999989756,0.0107758620689655,0.314349599997513,0.5,0.5063452999966103,0.0900160212238147,0.0026117496807151,0.0298442383357634,0.9135804758595194,0.06,0.2504999999999999,0.0555967383246849,0.984459599703484,0.45,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,2.3,0.3601683719370153,,,
ml100k,popularity,quota_mmr,200,400,10,0.0001656067832538,0.2993165000007138,0.0859375,0.3591809000063222,0.0120192307692307,0.2976629999975557,0.0142045454545454,0.3172746999989613,1.359375,1.3574759000039194,0.0861031067832538,0.0069279938811188,0.0298442383357634,0.9128804141766425,0.06,0.2525,0.056338028169014,0.9843832468495182,0.665,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,2.3,0.3588895532873269,,,
ml100k,popularity,quota_mmr,200,729,10,0.0001580677794638,0.312790900003165,0.0859375,0.3579532000003382,0.0120192307692307,0.3060943000018596,0.01953125,0.3162547000029008,3.015625,3.016224399994826,0.0860955677794638,0.0152358774038461,0.0312895624673529,0.9122603536823682,0.065,0.254,0.0555967383246849,0.9843239436619718,0.835,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,2.3,0.3576227654686578,800.0,user history in a small catalogue,0.91125
ml100k,itemknn,none,200,50,10,0.1953125,0.3842920000024605,0.0,0.0,0.0284090909090909,0.3036591000054613,0.0069444444444444,0.3141606999997748,0.0,0.0,0.1953125,0.0001767676767676,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.245,1,0.3,1.0,1,50,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,100,10,0.1953125,0.3879977999968105,0.0,0.0,0.0284090909090909,0.3075584999969578,0.0078125,0.3129764999976032,0.0,0.0,0.1953125,0.0001811079545454,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.355,1,0.3,1.0,1,100,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,200,10,0.1953125,0.3893296999958693,0.0,0.0,0.02734375,0.3246537000013632,0.0104166666666666,0.3145539999968605,0.0,0.0,0.1953125,0.0001888020833333,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.57,1,0.3,1.0,1,200,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,400,10,0.1953125,0.3879611999946064,0.0,0.0,0.02734375,0.3283898000008776,0.0148809523809523,0.3172855000011623,0.0,0.0,0.1953125,0.0002111235119047,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.78,1,0.3,1.0,1,400,ok,,,1349,943,0.0773079623019132,True,2.3,,,,
ml100k,itemknn,none,200,729,10,0.1953125,0.3876931999984663,0.0,0.0,0.02734375,0.3215004000012413,0.0182291666666666,0.3270647999961511,0.0,0.0,0.1953125,0.0002278645833333,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.88,1,0.3,1.0,1,800,ok,,,1349,943,0.0773079623019132,True,2.3,,800.0,user history in a small catalogue,0.91125
