dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,note.n_candidates_kept_fraction,repeat,n_candidates_requested,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
digital_music,popularity,quota_mmr,200,200,10,0.0003140703517587,0.3068896000004315,0.1354166666666666,0.4184904000012466,0.0148809523809523,0.3065965000005235,0.0520833333333333,0.311967800000275,1.125,1.1377627999991091,0.1357307370184254,0.0059598214285714,0.0017810359355401,0.9972831310942232,0.005,1.5,0.0013312034078807,0.9990936279730208,0.08,2,0.3,1.0,,,,2,200,ok,,,11268,16252,0.0006986333284143,True,1.9,0.0276781391037687
digital_music,itemknn,none,200,200,10,0.34375,0.33083120000083,0.0,0.0,0.0240384615384615,0.3249968000000081,0.0546875,0.317280600000231,0.0,0.0,0.34375,0.0003936298076923,0.048953159146001,1.0,0.075,1.163,0.1013489527866524,0.9364866879659212,0.265,2,0.3,1.0,,,,2,200,ok,,,11268,16252,0.0006986333284143,True,1.9,
digital_music,itemknn,quota_mmr,200,200,10,0.328125,0.3286798000008275,0.140625,0.4103063000002294,0.0240384615384615,0.3196005999998306,0.0572916666666666,0.3400142999998934,0.65625,0.6602802999987034,0.46875,0.0036879006410256,0.0484066171755703,0.8563367177219848,0.075,0.2695,0.1344515441959531,0.8941516684416045,0.265,2,0.3,1.0,,,,2,200,ok,,,11268,16252,0.0006986333284143,True,1.9,0.0059833319715023
digital_music,als,none,200,200,10,28.78125,28.783393100000467,0.0,0.0,0.0260416666666666,0.3099094000008335,0.0520833333333333,0.3167344000012235,0.0,0.0,28.78125,0.000390625,0.0279347252913814,1.0,0.065,1.4665,0.0757011004614838,0.95629783457579,0.28,2,0.3,1.0,,,,2,200,ok,,,11268,16252,0.0006986333284143,True,1.9,
digital_music,als,quota_mmr,200,200,10,28.921875,28.933995700001105,0.140625,0.4173972999997204,0.0260416666666666,0.309003099999245,0.0546875,0.3339205000011134,0.53125,0.5289290999990044,29.0625,0.0030598958333333,0.0286804770165232,0.8417137284718257,0.065,0.4629999999999999,0.12637557685481,0.904028842740504,0.28,2,0.3,1.0,,,,2,200,ok,,,11268,16252,0.0006986333284143,True,1.9,0.0050828745949755
gift_cards,popularity,none,200,120,10,8.322237017310254e-05,0.3096353999990242,0.0,0.0,0.009765625,0.3219675000000279,0.0022007042253521,0.3035014999986742,0.0,0.0,8.322237017310254e-05,5.9831646126760565e-05,0.072913936053882,1.0,0.145,1.5,0.1360544217687075,0.9193605442176872,0.88,3,0.3,1.0,200.0,user history in a small catalogue,0.6,3,200,ok,,,147,456,0.037265783506385,True,1.9,
gift_cards,popularity,quota_mmr,200,120,10,8.018988965871183e-05,0.3101186000003508,0.0004905808477237,0.3121993000004295,0.0100806451612903,0.3141618000008748,0.0022482014388489,0.3117599999986851,0.3125,0.3118567000001349,0.0005707707373824,0.0016241442330006,0.0556320988558113,0.6507062696034807,0.095,0.2999999999999999,0.3401360544217687,0.8919931972789116,0.88,3,0.3,1.0,200.0,user history in a small catalogue,0.6,3,200,ok,,,147,456,0.037265783506385,True,1.9,0.0099659008085779
gift_cards,itemknn,none,200,120,10,0.0018939393939393,0.3015300000006391,0.0,0.0,0.0100806451612903,0.3138660000004165,0.0023320895522388,0.3107713999997941,0.0,0.0,0.0018939393939393,6.206367356764563e-05,0.173263397498214,1.0,0.335,1.3700000000000003,0.4693877551020408,0.8136666666666666,0.965,3,0.3,1.0,200.0,user history in a small catalogue,0.6,3,200,ok,,,147,456,0.037265783506385,True,1.9,
gift_cards,itemknn,quota_mmr,200,120,10,0.001860119047619,0.3046508000006724,0.0004792944785276,0.3121289999999135,0.0100806451612903,0.3170133000003261,0.0023496240601503,0.3093411000008927,0.328125,0.3339926000007835,0.0023394135261466,0.0017027763461072,0.1458936965801109,0.779965394092215,0.26,0.284,0.9251700680272108,0.5463401360544218,0.965,3,0.3,1.0,200.0,user history in a small catalogue,0.6,3,200,ok,,,147,456,0.037265783506385,True,1.9,0.0165743964939635
gift_cards,als,none,200,120,10,0.609375,0.6183118999997532,0.0,0.0,0.0104166666666666,0.3081820999996125,0.002297794117647,0.321754200000214,0.0,0.0,0.609375,6.357230392156862e-05,0.0551087985406792,1.0,0.14,0.4875,0.9863945578231292,0.2494421768707483,0.85,3,0.3,1.0,200.0,user history in a small catalogue,0.6,3,200,ok,,,147,456,0.037265783506385,True,1.9,
gift_cards,als,quota_mmr,200,120,10,0.625,0.6180418000003556,0.0004822530864197,0.3130206000005273,0.0100806451612903,0.3183442999998078,0.0023854961832061,0.3056118999993487,0.40625,0.4166126000000076,0.6254822530864198,0.0020935807067224,0.0554745520214858,0.984145060537622,0.145,0.2575,0.979591836734694,0.2462857142857142,0.85,3,0.3,1.0,200.0,user history in a small catalogue,0.6,3,200,ok,,,147,456,0.037265783506385,True,1.9,0.0031794366744551
software,popularity,none,200,200,10,0.0001009693053311,0.2979762000013579,0.0,0.0,0.0104166666666666,0.3182003000001714,0.0061274509803921,0.3085295000000769,0.0,0.0,0.0001009693053311,8.272058823529411e-05,0.003022648515518,1.0,0.01,1.5,0.0192572214580467,0.9850949105914718,0.315,3,0.3,1.0,,,,3,200,ok,,,727,1779,0.0077884040691763,True,1.9,
