user_row,ndcg,ndcg_vs_retrieval,recall,exposure_parity,dataset,family,reranker,repeat,intra_list_similarity
295,0.0,0.6493886438321843,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
296,0.0,0.643310331640165,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
299,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
304,0.0,0.6326475143980858,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0089906037950142
305,0.0,0.6199244299337161,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.007474892677562
306,0.0,0.642400518761687,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0080659051944438
309,0.0,0.635737204169631,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
310,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
311,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
312,0.0,0.640170393901852,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0067117884252084
314,0.0,0.6463475048207972,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0064795071952716
316,0.0,0.5747170195655602,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0027906035040087
317,0.0,0.6316162686680329,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
321,0.0,0.6231119111167037,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.0078039381550976
332,0.0,0.6321816227529956,0.0,0.3,gift_cards,popularity,quota_mmr,0,0.009193771852822
