dataset,family,reranker,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,repeat,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
ml100k,itemknn,none,200,200,10,0.1953125,0.3832791999993787,0.0,0.0,0.02734375,0.3200070000002597,0.0094696969696969,0.3130014000007577,0.0,0.0,0.1953125,0.0001840672348484,0.0371478685516871,1.0,0.065,1.1425,0.0971089696071163,0.9589933283914012,0.57,1,0.3,1.0,,,1,ok,,,1349,943,0.0773079623019132,True,0.8,
ml100k,itemknn,quota_mmr,200,200,10,0.1875,0.3821955999992497,0.08984375,0.3483384000001024,0.02734375,0.3260349000001952,0.0100806451612903,0.3114457000001494,0.578125,0.6140720000003057,0.27734375,0.0030777469758064,0.0430233967482852,0.875516395946475,0.075,0.2465,0.1334321719792439,0.9453773165307636,0.57,1,0.3,1.0,,,1,ok,,,1349,943,0.0773079623019132,True,0.8,0.3471793711951239
ml100k,als,none,200,200,10,5.875,4.729146000000583,0.0,0.0,0.0130208333333333,0.3103988000002573,0.0100806451612903,0.3025834000000031,0.0,0.0,5.875,0.0001155073924731,0.0473213788017443,1.0,0.105,0.8305000000000001,0.4277242401779095,0.7726167531504818,0.63,1,0.3,1.0,,,1,ok,,,1349,943,0.0773079623019132,True,0.8,
ml100k,als,quota_mmr,200,200,10,5.828125,4.7401990999997,0.0859375,0.3538807000004453,0.0208333333333333,0.1936737999994875,0.009765625,0.312798400000247,0.609375,0.6093825999996625,5.9140625,0.0031998697916666,0.054368251432244,0.9389865097534555,0.115,0.26,0.5003706449221645,0.7126923647146034,0.63,1,0.3,1.0,,,1,ok,,,1349,943,0.0773079623019132,True,0.8,0.1235106814762031
gift_cards,popularity,none,200,120,10,8.552271483305966e-05,0.3042856000001848,0.0,0.0,0.0107758620689655,0.3106401000004553,0.0023854961832061,0.3091241000001901,0.0,0.0,8.552271483305966e-05,6.580679126085813e-05,0.0767168176337863,1.0,0.145,1.5,0.1224489795918367,0.9207414965986396,0.89,2,0.3,1.0,200.0,user history in a small catalogue,2,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,popularity,quota_mmr,200,120,10,8.716875871687587e-05,0.3075182999991739,0.0004921259842519,0.3101727999992363,0.0104166666666666,0.3154087000002619,0.002422480620155,0.3041708999999173,0.3125,0.3210167000006549,0.0005792947429688,0.0016266957364341,0.0586163516459067,0.6343716093712137,0.09,0.2999999999999999,0.3945578231292517,0.8905646258503401,0.89,2,0.3,1.0,200.0,user history in a small catalogue,2,ok,,,147,456,0.037265783506385,True,0.8,0.0081606508737808
gift_cards,itemknn,none,200,120,10,0.001953125,0.3103611000005912,0.0,0.0,0.0107758620689655,0.3125105999997686,0.0026041666666666,0.3073445999998512,0.0,0.0,0.001953125,6.690014367816092e-05,0.1828718450631722,1.0,0.38,1.3595,0.4693877551020408,0.8079455782312925,0.955,2,0.3,1.0,200.0,user history in a small catalogue,2,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,itemknn,quota_mmr,200,120,10,0.001905487804878,0.3062608999998701,0.0005148270181219,0.3084686000001966,0.0107758620689655,0.3119604999992589,0.0023496240601503,0.3095443000001978,0.359375,0.354341199999908,0.0024203148229999,0.0018625024306455,0.1094827004641504,0.7213779787348169,0.185,0.2649999999999999,0.9863945578231292,0.3870816326530612,0.955,2,0.3,1.0,200.0,user history in a small catalogue,2,ok,,,147,456,0.037265783506385,True,0.8,0.0107994910955232
gift_cards,als,none,200,120,10,0.625,0.6330118000005314,0.0,0.0,0.0163043478260869,0.2590349000001879,0.0026483050847457,0.2991885000001275,0.0,0.0,0.625,9.47632645541636e-05,0.0675971540343156,1.0,0.17,0.4785,0.9931972789115646,0.2315238095238095,0.865,2,0.3,1.0,200.0,user history in a small catalogue,2,ok,,,147,456,0.037265783506385,True,0.8,
gift_cards,als,quota_mmr,200,120,10,0.625,0.6336688000001232,0.0005182421227197,0.2992548000001989,0.015625,0.2225640999995448,0.0025826446280991,0.3049465999993117,0.40625,0.4054869999999937,0.6255182421227198,0.0021222882231404,0.0559763035912838,0.9764236600700656,0.13,0.2615,0.9863945578231292,0.2495374149659864,0.865,2,0.3,1.0,200.0,user history in a small catalogue,2,ok,,,147,456,0.037265783506385,True,0.8,0.0027508230621517
