dataset,family,reranker,repeat,n_users,n_candidates,k,cpu_train,wall_train,cpu_rerank_setup,wall_rerank_setup,cpu_retrieve_score,wall_retrieve_score,cpu_retrieve_select,wall_retrieve_select,cpu_rerank,wall_rerank,cpu_once,cpu_per_request,ndcg,ndcg_vs_retrieval,recall,exposure_parity,catalogue_coverage,gini,candidate_hit_rate,note.seed,note.lam,note.mu,note.n_candidates_requested,note.n_candidates_capped_by,status,error,below_quantum,n_items,n_train_users,density,trustworthy,busy_pct_at_start,intra_list_similarity
ml100k,multvae,quota_mmr,2,200,200,10,5.171875,1.2977319999999963,0.5625,0.1392243000000235,0.1041666666666666,0.0754984999994121,0.078125,0.0743213000005198,1.046875,0.7232878000004348,5.734375,0.0061458333333333,0.0410561823888268,0.9428227726751598,0.085,0.248,0.1771682727946627,0.93622090437361,0.64,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,0.3052267837073809
ml100k,gru4rec,none,2,200,200,10,534.296875,137.1650599000004,0.0,0.0,0.15625,0.0782457000004797,0.0446428571428571,0.0850738999997702,0.0,0.0,534.296875,0.0010044642857142,0.0995147995288019,1.0,0.2,0.8900000000000001,0.3165307635285396,0.8338042994810971,0.74,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,
ml100k,gru4rec,quota_mmr,2,200,200,10,645.140625,168.63666850000027,0.6875,0.1844716999994489,0.2109375,0.1115995000000111,0.0625,0.087820599999759,1.296875,1.001493599999776,645.828125,0.0078515625,0.0743448652639202,0.8930814685408867,0.13,0.257,0.4114158636026686,0.7740896960711638,0.74,2,0.3,1.0,,,ok,,,1349,943,0.0773079623019132,True,13.3,0.1565129189793802
luxury_beauty,popularity,none,2,200,200,10,0.000164560294892,0.3003127000001768,0.0,0.0,0.0135869565217391,0.3143733999995675,0.0107758620689655,0.3134791000002224,0.0,0.0,0.000164560294892,0.0001218140929535,0.0043067655807339,1.0,0.01,0.0,0.0124542124542124,0.99145347985348,0.27,2,0.3,1.0,,,ok,,,1365,3589,0.0048703966229739,True,13.3,
luxury_beauty,popularity,quota_mmr,2,200,200,10,0.0001717032967032,0.3184967000006509,0.0390625,0.3260252000000037,0.0125,0.3093396000003849,0.009765625,0.3261765999995987,0.953125,0.9645282999999836,0.0392342032967032,0.004876953125,0.005,0.829407914902793,0.01,0.0,0.0117216117216117,0.992469597069597,0.27,2,0.3,1.0,,,ok,,,1365,3589,0.0048703966229739,True,13.3,0.0049668238915017
luxury_beauty,itemknn,none,2,200,200,10,0.078125,0.3216086999991603,0.0,0.0,0.0148809523809523,0.3033929000002899,0.0130208333333333,0.3067549999996117,0.0,0.0,0.078125,0.0001395089285714,0.2135212839179027,1.0,0.265,0.9835,0.2886446886446886,0.896585347985348,0.45,2,0.3,1.0,,,ok,,,1365,3589,0.0048703966229739,True,13.3,
luxury_beauty,itemknn,quota_mmr,2,200,200,10,0.08203125,0.3252930999997261,0.0364583333333333,0.3512557000003653,0.0148809523809523,0.3018004000005021,0.011574074074074,0.3189601999993101,0.6875,0.707905700000083,0.1184895833333333,0.0035697751322751,0.2021027231538865,0.8559751149704071,0.24,0.2669999999999999,0.4864468864468864,0.7621333333333333,0.45,2,0.3,1.0,,,ok,,,1365,3589,0.0048703966229739,True,13.3,0.009596414297369
luxury_beauty,als,none,2,200,200,10,6.6875,6.642035800000485,0.0,0.0,0.0183823529411764,0.239647800000057,0.0107758620689655,0.322292799999559,0.0,0.0,6.6875,0.0001457910750507,0.2216308312696977,1.0,0.265,0.746,0.517948717948718,0.7251289377289377,0.455,2,0.3,1.0,,,ok,,,1365,3589,0.0048703966229739,True,13.3,
luxury_beauty,als,quota_mmr,2,200,200,10,7.046875,6.95619109999916,0.0364583333333333,0.3342567999998209,0.0208333333333333,0.2140572999996948,0.011574074074074,0.3061879000006229,0.734375,0.738879999999881,7.083333333333333,0.003833912037037,0.2125852471026596,0.9585426792302326,0.245,0.2685,0.5897435897435898,0.662458608058608,0.455,2,0.3,1.0,,,ok,,,1365,3589,0.0048703966229739,True,13.3,0.0067699609163485
digital_music,popularity,none,2,200,200,10,0.000365925058548,0.3081336000004739,0.0,0.0,0.0164473684210526,0.3242586000005758,0.06875,0.333989499999916,0.0,0.0,0.000365925058548,0.0004259868421052,0.0015051499783199,1.0,0.005,0.0,0.0010649627263045,0.9991024139155128,0.065,2,0.3,1.0,,,ok,,,11268,16252,0.0006986333284143,True,13.3,
